web100_log_entry_log_time,web100_log_entry_connection_spec_remote_ip,web100_log_entry_snap_HCThruOctetsAcked,web100_log_entry_snap_SndLimTimeRwin,web100_log_entry_snap_SndLimTimeCwnd,web100_log_entry_snap_SndLimTimeSnd,web100_log_entry_snap_MinRTT,web100_log_entry_snap_MaxRTT,web100_log_entry_snap_SumRTT,web100_log_entry_snap_CountRTT,web100_log_entry_snap_MaxMSS,web100_log_entry_snap_MaxPipeSize,web100_log_entry_snap_SegsRetrans,web100_log_entry_snap_SegsOut,web100_log_entry_snap_DataSegsOut,web100_log_entry_snap_CongSignals,web100_log_entry_snap_Timeouts,web100_log_entry_snap_DupAcksOut,web100_log_entry_snap_ECNsignals,web100_log_entry_snap_PreCongSumCwnd,web100_log_entry_snap_PreCongSumRTT,connection_spec_client_geolocation_country_code,connection_spec_server_geolocation_country_code
1400584839,186.94.134.211,791968,1264641,9181596,324586,152,792,110088,246,1460,,4,577,577,1,0,0,,68620,786,VE,US
1390757043,200.82.135.147,1386128,0,9666857,259669,45,370,38201,559,1448,,17,991,991,11,3,0,,139008,1014,VE,
1385751843,190.123.188.50,1002208,541023,10104369,186175,78,166,25783,263,1460,,55,745,745,11,1,0,,163520,1169,VE,US
1385752175,190.123.188.50,495012,0,9797787,579252,78,267,14373,131,1460,,17,361,361,13,1,0,,89060,1480,VE,US
1385752466,190.114.242.195,23168,0,11005984,172309,402,2784,13022,10,1448,,4,23,23,1,1,0,,7240,569,VE,US
1387123177,200.82.214.2,3815256,7555287,2938008,171727,54,1842,217662,509,1448,,0,2846,2846,0,0,0,,0,0,VE,US
1391967729,186.89.252.209,1800828,9027326,1093856,351218,124,370,212691,617,1460,,0,1279,1279,0,0,0,,0,0,VE,US
1384983380,186.93.195.202,1681108,652525,9734556,169016,137,312,134102,555,1460,,7,1203,1203,2,0,0,,121180,615,VE,US
1383881555,200.75.126.24,8060576,7125152,3018248,354683,68,625,313768,1234,1448,,1,5716,5716,1,0,7,,441640,521,VE,US
1383882136,190.142.18.33,912900,0,10082142,200511,66,125,23483,312,1460,,31,666,666,4,1,0,,75920,282,VE,US
1383881603,186.95.255.196,671680,245538,9762973,179348,228,695,66466,178,1460,,20,499,499,2,0,0,,109500,708,VE,US
1383965959,190.204.0.107,280156,1439481,8974490,138174,233,894,36744,82,1460,,5,205,205,3,0,0,,56940,1571,VE,US
1383540256,186.94.22.249,163520,0,9995037,157461,126,456,10602,42,1460,,16,131,131,5,1,0,,39420,1323,VE,US
1385675648,186.96.68.58,267180,0,10348551,203624,81,232,10302,71,1460,,16,204,204,10,2,0,,64240,1516,VE,US
1385675588,186.96.68.58,366460,0,10120522,168887,89,354,18258,113,1460,,10,270,270,7,1,0,,55480,1217,VE,US
1384743010,186.95.1.108,280968,2088689,7867629,152846,214,1780,66146,74,1460,,8,226,226,1,0,0,,71540,1780,VE,US
1384743066,186.95.1.108,308708,1641978,9654528,220048,260,1872,77913,84,1460,,18,255,255,1,0,0,,71540,1872,VE,US
